학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
ACCT1001-01,회계원리,1,80,심규영,3.0,월 09:00-10:15 (오422)수 09:00-10:15 (오422),11,,,서울
ACCT1001-02,회계원리,1,85,심규영,3.0,월 10:30-11:45 (오422)수 10:30-11:45 (오422),11,,,서울
ACCT1001-03,회계원리,1,40,강병민,3.0,월 15:00-16:15 (오307)수 15:00-16:15 (오307),11,,,서울
ACCT1001-04,회계원리,1,60,김권중,3.0,월 15:00-16:15 (오211)수 15:00-16:15 (오211),11,,,서울
ACCT1001-05,회계원리,1,40,강병민,3.0,월 16:30-17:45 (오307)수 16:30-17:45 (오307),11,,,서울
ACCT1001-06,회계원리,1,60,김권중,3.0,월 16:30-17:45 (오211)수 16:30-17:45 (오211),11,,,서울
ACCT1001-07,회계원리,1,60,허귀진,3.0,화 09:00-11:45 (외국어대306),11,,국제캠퍼스 개설강좌,서울
ACCT1001-08,회계원리,1,60,김성은,3.0,화 10:30-11:45 (오211)목 10:30-11:45 (오211),11,,,서울
ACCT1001-09,회계원리,1,60,김성은,3.0,화 12:00-13:15 (오211)목 12:00-13:15 (오211),11,,,서울
ACCT1001-10,회계원리,1,60,김성은,3.0,화 13:30-14:45 (오211)목 13:30-14:45 (오211),11,,,서울
ACCT1001-11,회계원리,1,80,최승욱,3.0,화 15:00-16:15 (오309)목 15:00-16:15 (오309),11,영어,,서울
ACCT1002-01,관리회계1,2,0,정형록,3.0,월 15:00-16:15 (오309)수 15:00-16:15 (오309),04,,회계세무학과 1학년 대상,서울
ACCT1002-02,관리회계1,2,0,이현경,3.0,월 15:00-16:15 (오308)수 15:00-16:15 (오308),04,,경영학과 1학년 대상,서울
ACCT1002-03,관리회계1,2,0,이현경,3.0,월 16:30-17:45 (오308)수 16:30-17:45 (오308),04,,경영학과 1학년 대상,서울
ACCT1002-04,관리회계1,2,0,허성준,3.0,월 15:00-16:15 (오213)수 15:00-16:15 (오213),04,,경영학과 1학년 대상,서울
ACCT1002-05,관리회계1,2,0,허성준,3.0,월 16:30-17:45 (오210)수 16:30-17:45 (오210),04,,경영학과 1학년 대상,서울
ACCT1002-06,관리회계1,2,62,지가영,3.0,화 15:00-16:15 (오202)목 15:00-16:15 (오202),04,,,서울
ACCT1002-07,관리회계1,2,60,허귀진,3.0,수 13:30-16:15 (외국어대306),04,,국제캠퍼스 개설강좌,서울
ACCT1002-08,관리회계1,2,65,유희경,3.0,금 09:00-11:45 (오212),04,,,서울
ACCT2001-01,세법총론,2,60,이준규,3.0,월 10:30-11:45 (오212)수 10:30-11:45 (오212),05,,,서울
ACCT2001-02,세법총론,2,60,이준규,3.0,월 15:00-16:15 (오212)수 15:00-16:15 (오212),05,,,서울
ACCT2003-01,회사법,2,65,정완용,3.0,월 13:30-14:45 (오209)수 13:30-14:45 (오209),05,,,서울
ACCT2003-02,회사법,2,85,정완용,3.0,금 09:00-11:45 (오309),05,,,서울
ACCT2004-01,세무회계1,2,60,박찬웅,3.0,화 15:00-16:15 (오423)목 15:00-16:15 (오423),04,,,서울
ACCT2004-02,세무회계1,2,60,박찬웅,3.0,화 16:30-17:45 (오423)목 16:30-17:45 (오423),04,,,서울
ACCT2005-01,재무회계1,2,60,정혜영,3.0,화 13:30-14:45 (오306)목 13:30-14:45 (오306),04,,,서울
ACCT2005-02,재무회계1,2,60,정혜영,3.0,화 15:00-16:15 (오306)목 15:00-16:15 (오306),04,,,서울
ACCT2005-04,재무회계1,2,80,유지연,3.0,금 09:00-11:45 (오422),04,,,서울
ACCT2006-01,재무회계2,2,60,김문철,3.0,월 09:00-10:15 (오211)수 09:00-10:15 (오211),04,,,서울
ACCT2006-02,재무회계2,2,60,김문철,3.0,월 10:30-11:45 (오211)수 10:30-11:45 (오211),04,,,서울
ACCT2006-03,재무회계2,2,80,유지연,3.0,금 12:00-14:45 (오422),04,,,서울
ACCT3001-01,가치평가론,3,60,이준일,3.0,화 10:30-11:45 (오209)목 10:30-11:45 (오209),05,,,서울
ACCT3002-01,고급회계,3,60,김영훈,3.0,금 09:00-11:45 (오211),05,,,서울
ACCT3003-01,관리회계2,3,60,정형록,3.0,월 16:30-17:45 (오401)수 16:30-17:45 (오401),05,,,서울
ACCT3003-02,관리회계2,3,60,지가영,3.0,화 13:30-14:45 (오202)목 13:30-14:45 (오202),05,,,서울
ACCT3004-01,세무회계2,3,80,신나리,3.0,화 10:30-11:45 (오212)목 10:30-11:45 (오212),05,,,서울
ACCT3004-02,세무회계2,3,80,신나리,3.0,목 12:00-13:15 (오422)화 12:00-13:15 (오422),05,,,서울
ACCT3005-01,재무제표분석,3,60,이준일,3.0,화 13:30-14:45 (오209)목 13:30-14:45 (오209),05,,,서울
ACCT3007-01,회계감사,3,60,정남철,3.0,금 15:00-17:45 (오211),05,,,서울
ACCT4007-01,졸업논문(회계학),4,200,정형록,.0,- (),04,,졸업예정자 필수 신청,서울
AE101-01,공학프로그래밍입문,1,30,연문숙,3.0,월 10:30-13:15 (공176-4),11,,칼랩3실 Abeek,국제
AE111-01,기초공학설계,1,35,김민숙,3.0,수 12:00-13:15 (공 품평실 250-3)수 10:30-11:50 (공149),04,영어(부분),Abeek,국제
AE111-02,기초공학설계,1,35,박성용,3.0,수 10:30-13:15 (공149/공 품평실250-1),04,영어(부분),Abeek,국제
AE112-00,정역학,1,75,김대진,3.0,화 13:30-14:45 (공176)목 13:30-14:45 (공176),11,영어,Abeek,국제
AE201-01,공학CAD,2,30,김구택,3.0,월 16:30-19:15 (공176-3),11,영어(부분),칼랩3 Abeek,국제
AE203-01,응용공학통계학,2,70,임지영,3.0,금 10:30-13:15 (공149),11,,Abeek,국제
AE231-02,사업관리기초,2,50,이준복,3.0,목 10:30-11:45 (공149)화 10:30-11:45 (공149),05,영어(부분),Abeek,국제
AE252-01,재료역학,2,65,김대진,3.0,화 15:00-16:15 (공176)목 15:00-16:15 (공176),05,영어,Abeek,국제
AE253-01,철근콘크리트설계I,2,36,이영학,3.0,수 13:30-14:45 (공B103)월 13:30-14:45 (공B103),05,영어,Abeek,국제
AE253-02,철근콘크리트설계I,2,36,이영학,3.0,수 15:00-16:15 (공B103)월 15:00-16:15 (공B103),05,영어,Abeek,국제
AE272-01,건축환경계획II,2,25,윤근영,3.0,월 10:30-11:45 (공B103)수 10:30-11:45 (공B103),05,영어,Abeek,국제
AE272-02,건축환경계획II,2,25,김곤,3.0,월 09:00-10:15 (공B103)수 09:00-10:15 (공B103),05,영어,Abeek,국제
AE334-01,건축시스템설계,3,30,원서경,3.0,월 16:30-19:15 (공B103),05,영어(부분),Abeek,국제
AE352-00,철근콘크리트설계II,3,40,홍원기,3.0,금 10:30-13:15 (공B103),05,영어,Abeek,국제
AE353-01,전산구조해석및설계,3,20,박성용,3.0,수 14:30-16:15 (공149)수 16:30-18:20 (공176-4),05,,Abeek,국제
AE354-01,초고층및특수구조설계,3,50,홍원기,3.0,목 13:30-14:45 (공149)화 13:30-14:45 (공149),05,영어,Abeek,국제
AE354-02,초고층및특수구조설계,3,50,홍원기,3.0,목 18:00-19:15 (공102-1)화 18:00-19:15 (공102-1),05,영어,Abeek,국제
AE373-02,건축설비II,3,50,김곤,3.0,목 10:30-11:45 (공B103)화 10:30-11:45 (공B103),05,,Abeek,국제
AE401-01,졸업논문(건축공학전공),4,100,윤근영,.0,토 -00:00 (공149),04,,졸업예정자 필수수강,국제
AE433-01,건축공사기술응용,4,50,곽수윤,3.0,목 16:30-19:15 (공149),05,,Abeek,국제
AE472-01,친환경건축설비응용,3,30,박창봉,3.0,"금 15:00-17:45 (공149,176-3)",05,,중간고사이후 176-3에서 실습 진행 Abeek,국제
AE475-00,건축공학캡스톤디자인2,4,10,윤근영,3.0,화 13:30-16:15 (글508),05,,Abeek,국제
AELTS1004-01,영어학개론,1,41,한학성,3.0,월 15:00-16:15 (문303)수 15:00-16:15 (문303),11,영어,응용영어통번역학과 1학년 전용 강좌,서울
AELTS1004-02,영어학개론,1,40,정세훈,3.0,수 13:30-16:15 (문403),11,영어,,서울
AELTS1005-01,영문학개론,1,34,최지안,3.0,월 10:30-11:45 (문404)수 10:30-11:45 (문404),11,영어,,서울
AELTS1005-02,영문학개론,1,44,최지안,3.0,수 12:00-13:15 (문404)월 12:00-13:15 (문404),11,영어,,서울
AELTS1006-01,번역기반영어독해,1,63,이미경,3.0,화 10:30-11:45 (문301)목 10:30-11:45 (문301),11,영어(부분),,서울
AELTS2003-01,영미문화,2,38,최지안,3.0,월 09:00-10:15 (문404)수 09:00-10:15 (문404),04,영어,,서울
AELTS2008-01,영한순차통역1,2,40,조재범,3.0,월 10:30-11:45 (문301)수 10:30-11:45 (문301),05,영어(부분),,서울
AELTS2009-01,영한번역,2,46,조재범,3.0,월 13:30-14:45 (문301)수 13:30-14:45 (문301),05,영어(부분),,서울
AELTS3005-01,영한순차통역2,3,40,조재범,3.0,월 12:00-13:15 (문301)수 12:00-13:15 (문301),05,영어(부분),,서울
AELTS3006-01,시사번역,3,31,이미경,3.0,화 15:00-16:15 (문301)목 15:00-16:15 (문301),05,영어(부분),,서울
AELTS3007-01,비교문화분석,3,40,김규현,3.0,화 12:00-13:15 (문310)목 10:30-11:45 (문310),05,영어,,서울
AELTS3008-01,고급영문법,3,35,한학성,3.0,월 10:30-11:45 (문304)수 10:30-11:45 (문304),05,,,서울
AELTS3009-01,영어대화분석,3,43,김규현,3.0,월 15:00-16:15 (문301)수 15:00-16:15 (문301),05,영어,,서울
AELTS3010-01,한영순차통역1,3,50,마승혜,3.0,목 09:00-11:45 (문303),04,영어(부분),,서울
AELTS3012-01,독립심화학습2(응용영어통번역학과),3,0,이미경,3.0,수 18:00-19:15 (연구실)금 18:00-19:15 (연구실),05,,,서울
AELTS3012-02,독립심화학습2(응용영어통번역학과),3,0,이미경,3.0,월 15:00-16:15 (연구실)수 15:00-16:15 (연구실),05,,,서울
AELTS4006-01,주제별심화통역,4,30,이미경,3.0,화 12:00-13:15 (문301)목 12:00-13:15 (문301),05,영어(부분),,서울
AELTS4007-01,문학번역,4,35,최지안,3.0,월 13:30-14:45 (문404)수 13:30-14:45 (문404),05,영어,,서울
AELTS4008-01,고급퍼블릭스피킹,4,40,Bovee Rachel Noelani,3.0,화 13:30-14:45 (문304)목 12:00-13:15 (문304),05,영어,,서울
AMIE201-01,공학프로그래밍입문,2,25,김갑진,3.0,화 15:00-17:45 (공176-3),11,,,국제
AMIE201-02,공학프로그래밍입문,2,25,김갑진,3.0,목 15:00-17:45 (공176-3),11,,,국제
AMIE220-00,재료과학,2,60,박민식,3.0,월 10:30-11:50 (공B105)수 10:30-11:50 (공B105),04,영어,,국제
AMIE221-00,세라믹재료,2,65,박정훈,3.0,월 16:30-19:10 (공B105),05,,,국제
AMIE251-00,물리화학,2,50,김홍두,3.0,화 13:30-14:45 (공B105)목 13:30-14:45 (공B105),04,,,국제
AMIE252-00,재료열역학,2,69,유재웅,3.0,수 13:30-14:45 (공263)월 13:30-14:45 (공263),05,영어,정보전자신소재공학과생만 수강가능,국제
AMIE261-00,유기화학,2,60,정재웅,3.0,수 15:00-16:15 (공365)월 15:00-16:15 (공365),04,,,국제
AMIE262-00,고분자재료,2,60,김홍두,3.0,화 10:30-11:50 (공263)목 10:30-11:50 (공263),05,,,국제
AMIE272-00,재료양자물리,2,57,강성준,3.0,목 09:00-10:15 (공263)화 09:00-10:15 (공263),05,영어,,국제
AMIE273-00,공학수학2,2,60,최석원,3.0,수 12:00-13:15 (공B105)월 12:00-13:15 (공B105),05,영어,,국제
AMIE274-01,기초신소재및실험,2,16,"강성준,전우진",3.0,수 15:00-16:50 (공127)금 09:00-10:50 (공150),04,,이론수업은 팀티칭으로 합반하여 운영,국제
AMIE274-02,기초신소재및실험,2,24,"강성준,전우진",3.0,"금 12:00-13:50 (공127)금 09:00-10:50 (공150),금 09:00-10:50 (공150)금 12:00-13:50 (공127)",04,,이론수업은 팀티칭으로 합반하여 운영,국제
AMIE274-03,기초신소재및실험,2,24,"강성준,전우진",3.0,금 09:00-10:50 (공150)금 14:00-15:50 (공127),04,,이론수업은 팀티칭으로 합반하여 운영,국제
AMIE274-04,기초신소재및실험,2,16,"강성준,전우진",3.0,금 09:00-10:50 (공150)금 16:00-17:50 (공127),04,,이론수업은 팀티칭으로 합반하여 운영,국제
AMIE322-00,유기전자재료,3,64,유재웅,3.0,목 10:30-11:45 (공B105)화 10:30-11:45 (공B105),05,영어,정보전자신소재공학과 학생만 수강가능,국제
AMIE332-00,박막공학,3,73,정재웅,3.0,월 13:30-14:45 (공B105)수 13:30-14:45 (공B105),05,영어,,국제
AMIE397-00,전자재료기기분석,3,60,김홍두,3.0,수 12:00-13:15 (공263)금 12:00-13:15 (공263),05,영어,,국제
AMIE398-01,고급신소재실험및종합설계,3,40,"최석원,박민식",3.0,"월 15:00-18:00 (공260, 공263)",04,영어(부분),,국제
AMIE398-02,고급신소재실험및종합설계,3,40,"최석원,박민식",3.0,"화 15:00-18:00 (공263, 공260)",04,영어(부분),,국제
AMIE399-00,연구연수활동(정보전자신소재공학과),3,5,강성준,1.0,토 13:30-14:15 (공263),05,,수강신청서 학과사무실로 제출 후 수강신청 가능,국제
AMIE400-00,졸업논문(정보전자신소재공학),4,40,강성준,.0,토 15:00-16:15 (),04,,금학기 정보전자신소재공학과 졸업예정자 필수,국제
AMIE4001-00,졸업논문(고분자.섬유신소재전공),4,40,강성준,.0,토 16:30-17:45 (),04,,금학기 고분자섬유신소재학과 졸업예정자 필수,국제
AMIE442-00,하이브리드재료,4,60,박민식,3.0,화 09:00-10:15 (공365)목 09:00-10:15 (공365),05,영어(부분),,국제
AMIE473-00,첨단금속재료공학,4,60,전우진,3.0,월 15:00-16:15 (공B105)수 15:00-16:15 (공B105),05,영어,,국제
AMTH1001-01,미분방정식,1,40,홍범일,3.0,수 09:00-10:15 (전101)월 09:00-10:15 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-02,미분방정식,1,40,"홍범일,서효원",3.0,"수 15:00-16:15 (전219)월 15:00-16:15 (전219),월 15:00-16:15 (전219)수 15:00-16:15 (전219)",11,,"팀티칭,중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-03,미분방정식,1,40,김혜현,3.0,수 10:30-11:45 (전102)월 10:30-11:45 (전102),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-04,미분방정식,1,40,"이선미,서효원",3.0,월 09:00-10:15 (전223)수 09:00-10:15 (전223),11,,"팀티칭,중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-05,미분방정식,1,40,박지연,3.0,목 13:30-14:45 (전101)화 13:30-14:45 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-06,미분방정식,1,40,박지연,3.0,목 15:00-16:15 (전101)화 15:00-16:15 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-07,미분방정식,1,40,배재형,3.0,화 09:00-10:15 (멀304)목 09:00-10:15 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-08,미분방정식,1,40,배재형,3.0,화 10:30-11:45 (멀304)목 10:30-11:45 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-09,미분방정식,1,40,김현수,3.0,목 09:00-10:15 (멀411)화 09:00-10:15 (멀411),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-10,미분방정식,1,40,김현수,3.0,화 10:30-11:45 (멀411)목 10:30-11:45 (멀411),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-11,미분방정식,1,40,신인숙,3.0,목 12:00-13:15 (멀304)화 12:00-13:15 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1001-12,미분방정식,1,40,신인숙,3.0,화 13:30-14:45 (멀304)목 13:30-14:45 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-01,미분적분학2,1,40,김병학,3.0,수 13:30-14:45 (전101)월 13:30-14:45 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-02,미분적분학2,1,40,전준기,3.0,월 13:30-14:45 (전102)수 13:30-14:45 (전102),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-03,미분적분학2,1,40,전준기,3.0,수 15:00-16:15 (전102)월 15:00-16:15 (전102),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-04,미분적분학2,1,40,최진혁,3.0,수 09:00-10:15 (멀304)월 09:00-10:15 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-05,미분적분학2,1,40,최진혁,3.0,월 10:30-11:45 (멀304)수 10:30-11:45 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-06,미분적분학2,1,40,최용빈,3.0,수 15:00-16:15 (전101)월 15:00-16:15 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-07,미분적분학2,1,40,최용빈,3.0,월 16:30-17:45 (전101)수 16:30-17:45 (전101),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-08,미분적분학2,1,40,김원주,3.0,목 09:00-10:15 (전223)화 09:00-10:15 (전223),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-09,미분적분학2,1,40,김원주,3.0,목 10:30-11:45 (전223)화 10:30-11:45 (전223),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-10,미분적분학2,1,40,이영수,3.0,화 10:30-11:45 (전102)목 10:30-11:45 (전102),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-11,미분적분학2,1,40,이영수,3.0,목 12:00-13:15 (전102)화 12:00-13:15 (전102),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-12,미분적분학2,1,40,박명진,3.0,월 13:30-14:45 (멀107)수 13:30-14:45 (멀107),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-13,미분적분학2,1,40,박명진,3.0,목 15:00-16:15 (멀608)화 15:00-16:15 (멀608),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-14,미분적분학2,1,40,박정주,3.0,화 15:00-16:15 (멀304)목 15:00-16:15 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-15,미분적분학2,1,40,박정주,3.0,화 16:30-17:45 (멀304)목 16:30-17:45 (멀304),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-16,미분적분학2,1,40,박정준,3.0,목 13:30-14:45 (멀107)화 13:30-14:45 (멀107),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-17,미분적분학2,1,40,박정준,3.0,목 15:00-16:15 (멀107)화 15:00-16:15 (멀107),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-18,미분적분학2,1,40,최진혁,3.0,목 09:00-10:15 (멀107)화 09:00-10:15 (멀107),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1003-19,미분적분학2,1,40,최진혁,3.0,목 10:30-11:45 (멀107)화 10:30-11:45 (멀107),11,,"중간,기말시험:토요일(변경불가),ABEEK Abeek",국제
AMTH1005-01,통계학,1,35,최승경,3.0,목 15:00-16:15 (전221)화 15:00-16:15 (전221),11,,,국제
AMTH1005-02,통계학,1,35,최승경,3.0,목 16:30-17:45 (전221)화 16:30-17:45 (전221),11,,,국제
AMTH2002-00,복소함수및응용,2,40,옥지훈,3.0,목 16:30-17:45 (전102)화 16:30-17:45 (전102),05,영어,추가 화18:00-19:15(타과목수강불가),국제
AMTH2005-00,수치해석및연습,2,56,김경수,3.0,화 12:00-13:15 (전101)목 12:00-13:15 (전101),04,영어,,국제
AMTH2006-00,응용벡터해석,2,40,김정산,3.0,월 10:30-11:45 (전221)수 10:30-11:45 (전221),05,영어,,국제
AMTH2009-00,집합과퍼지,2,40,한창용,3.0,화 10:30-11:45 (전221)목 10:30-11:45 (전221),05,영어,,국제
AMTH2011-00,해석학II,2,40,최선호,3.0,월 13:30-14:45 (전223)수 13:30-14:45 (전223),05,영어,,국제
AMTH3003-00,미분기하학1,3,50,한창용,3.0,화 09:00-10:15 (전102)목 09:00-10:15 (전102),04,영어(부분),,국제
AMTH3005-00,수리모델링과응용,3,40,김정산,3.0,수 13:30-14:45 (전221)월 13:30-14:45 (전221),05,영어,,국제
AMTH3007-00,알고리즘과수학,3,40,김경수,3.0,목 10:30-11:45 (전101)화 10:30-11:45 (전101),05,,,국제
AMTH3012-00,통계학2,3,40,이선미,3.0,월 10:30-11:45 (전223)수 10:30-11:45 (전223),05,영어,,국제
AMTH3014-00,현대대수학II,3,40,김정산,3.0,목 13:30-14:45 (전221)화 13:30-14:45 (전221),05,영어,,국제
AMTH3022-00,응용수학 캡스톤디자인 2,3,15,최선호,3.0,월 19:30-20:45 (전223)수 19:30-20:45 (전223),04,,,국제
AMTH3024-00,독립심화학습2(응용수학과),3,1,최선호,3.0,월 10:30-11:45 (전219)수 10:30-11:45 (전219),05,,,국제
AMTH3024-01,독립심화학습2(응용수학과),3,4,김병학,3.0,금 20:05-22:30 (전221),05,,,국제
AMTH3024-02,독립심화학습2(응용수학과),3,3,김병학,3.0,금 09:00-11:45 (전221),05,,,국제
AMTH3024-03,독립심화학습2(응용수학과),3,2,이선미,3.0,월 18:00-20:45 (전221),05,,,국제
AMTH3024-05,독립심화학습2(응용수학과),3,1,최선호,3.0,화 18:00-20:45 (전101),05,,,국제
AMTH3024-06,독립심화학습2(응용수학과),3,1,최선호,3.0,화 13:30-16:15 (전215),05,,,국제
AMTH3024-07,독립심화학습2(응용수학과),3,2,이선미,3.0,화 18:00-20:45 (전223),05,,,국제
AMTH3024-08,독립심화학습2(응용수학과),3,2,이선미,3.0,수 18:00-20:45 (전221),05,,,국제
AMTH3024-09,독립심화학습2(응용수학과),3,2,이선미,3.0,목 18:00-20:45 (전101),05,,,국제
AMTH4003-00,다변수해석학,4,40,홍범일,3.0,수 10:30-11:45 (전101)월 10:30-11:45 (전101),05,영어,,국제
AMTH4012-00,졸업논문(응용수학과),4,40,김혜현,.0,금 18:00-19:50 (전101),04,,,국제
AMTH4013-00,편미분방정식,4,40,최선호,3.0,월 15:00-16:15 (전223)수 15:00-16:15 (전223),05,영어,,국제
APCH1102-01,화학및실험2,1,18,유은정,3.0,월 10:30-12:20 (멀311)수 10:30-12:20 (멀308),11,영어,ABEEK강좌 Abeek,국제
APCH1102-02,화학및실험2,1,18,유은정,3.0,월 10:30-12:20 (멀311)수 10:30-12:20 (멀309),11,영어,ABEEK강좌 Abeek,국제
APCH1102-03,화학및실험2,1,18,유은정,3.0,수 10:30-12:20 (멀310)월 10:30-12:20 (멀311),11,영어,ABEEK강좌 Abeek,국제
APCH1102-04,화학및실험2,1,18,안광현,3.0,월 13:00-14:50 (멀311)수 13:00-14:50 (멀308),11,,ABEEK강좌 Abeek,국제
APCH1102-05,화학및실험2,1,18,안광현,3.0,월 13:00-14:50 (멀311)수 13:00-14:50 (멀309),11,,ABEEK강좌 Abeek,국제
APCH1102-06,화학및실험2,1,18,안광현,3.0,월 13:00-14:50 (멀311)수 13:00-14:50 (멀310),11,,ABEEK강좌 Abeek,국제
APCH1102-07,화학및실험2,1,22,이성열,3.0,화 13:00-14:50 (멀308)목 13:00-14:50 (멀311),11,,ABEEK강좌 Abeek,국제
APCH1102-08,화학및실험2,1,22,이성열,3.0,화 13:00-14:50 (멀309)목 13:00-14:50 (멀311),11,,ABEEK강좌 Abeek,국제
APCH1102-09,화학및실험2,1,22,이성열,3.0,화 13:00-14:50 (멀310)목 13:00-14:50 (멀311),11,,ABEEK강좌 Abeek,국제
APCH1102-10,화학및실험2,1,20,이성열,3.0,화 10:30-12:20 (멀308)목 11:00-12:50 (멀311),11,,,국제
APCH1122-01,화학2,1,50,최범석,3.0,월 10:30-11:45 (국305)수 10:30-11:45 (국305),11,,,국제
APCH1122-02,화학2,1,50,최범석,3.0,월 13:30-14:45 (국305)수 13:30-14:45 (국305),11,,,국제
APCH1122-03,화학2,1,50,임재희,3.0,화 10:30-11:45 (국305)목 10:30-11:45 (국305),11,,,국제
APCH1122-04,화학2,1,50,임재희,3.0,화 13:30-14:45 (국305)목 13:30-14:45 (국305),11,,,국제
APCH1122-05,화학2,1,45,"강은주,Rathwell Kris James Andrew",3.0,월 10:30-11:45 (멀107)수 10:30-11:45 (멀107),11,영어,,국제
APCH1122-06,화학2,1,70,유재웅,3.0,월 10:30-11:45 (공B101)수 10:30-11:45 (공B101),11,,정보전자신소재공학과 학생들만 수강 가능,국제
APCH1131-01,일반화학,1,50,오영호,3.0,월 15:00-16:15 (멀311)수 15:00-16:15 (멀311),11,,,국제
APCH1131-02,일반화학,1,50,오영호,3.0,월 16:30-17:45 (멀311)수 16:30-17:45 (멀311),11,,,국제
APCH1131-03,일반화학,1,50,이현주,3.0,화 09:00-10:15 (멀311)목 09:00-10:15 (멀311),11,,,국제
APCH1131-04,일반화학,1,48,이현주,3.0,화 12:00-13:15 (멀107)목 12:00-13:15 (멀107),11,,,국제
APCH2102-00,물리화학II,2,70,이성열,3.0,월 13:30-14:45 (공363)수 13:30-14:45 (공363),04,,,국제
APCH2103-01,물리화학실험,2,20,고두현,2.0,화 09:00-12:50 (공445),04,영어,,국제
APCH2103-02,물리화학실험,2,20,고두현,2.0,목 09:00-12:50 (공445),04,영어,,국제
APCH2201-00,기초유기화학,2,50,이승한,3.0,화 10:30-11:45 (공146)목 10:30-11:45 (공146),05,,,국제
APCH2202-00,유기화학I,2,50,이승한,3.0,화 13:30-14:45 (공146)목 13:30-14:45 (공146),05,,,국제
APCH2203-01,유기화학실험,2,20,안광현,2.0,목 15:00-18:50 (멀310),04,영어,,국제
APCH2203-02,유기화학실험,2,20,강은주,2.0,금 09:00-12:50 (멀310),04,영어,,국제
APCH2203-03,유기화학실험,2,20,강경태,2.0,금 13:30-17:20 (멀310),04,영어,,국제
APCH2302-00,응용분석화학,2,30,강성호,3.0,월 09:00-10:15 (공146)수 09:00-10:15 (공146),05,영어(부분),,국제
APCH2401-01,무기화학입문,2,40,변송호,3.0,월 12:00-13:15 (공146)수 12:00-13:15 (공146),05,,,국제
APCH2401-02,무기화학입문,2,40,변송호,3.0,월 15:00-16:15 (공146)수 15:00-16:15 (공146),05,,,국제
APCH3104-00,소프트웨어화학및실습,3,19,김용호,3.0,화 13:00-14:50 (공127)목 13:00-14:50 (공127),05,영어,응용화학과 학생만 수강 가능 (타학과 수강불가),국제
APCH3104-01,소프트웨어화학및실습,3,19,김용호,3.0,화 16:30-18:20 (공176-4)목 16:30-18:20 (공176-4),05,영어,응용화학과 학생만 수강 가능 (타학과 수강불가),국제
APCH3201-00,유기화학II,2,50,강경태,3.0,월 10:30-11:45 (공146)수 10:30-11:45 (공146),05,영어(부분),,국제
APCH3202-00,물리유기화학,3,50,안광현,3.0,월 16:30-17:45 (공146)수 16:30-17:45 (공146),05,영어(부분),,국제
APCH3302-00,기기분석,3,50,강성호,3.0,월 13:30-14:45 (공146)수 13:30-14:45 (공146),05,영어(부분),,국제
APCH3402-00,무기화학II,3,50,변송호,3.0,화 15:00-16:15 (공146)목 15:00-16:15 (공146),05,,,국제
APCH4600-00,졸업논문(응용화학과),4,50,김광표,.0,토 20:30-21:45 (공146),04,,,국제
