학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
MGMT3008-02,마케팅조사론,3,60,Shali Wu,3.0,월 16:30-17:45 (오202)수 16:30-17:45 (오202),05,영어,,서울
MGMT3008-05,마케팅조사론,3,80,윤여준,3.0,화 13:30-14:45 (오309)목 13:30-14:45 (오309),05,영어,,서울
MGMT3009-01,보험학원론,3,65,이봉주,3.0,화 10:30-11:45 (오422)목 10:30-11:45 (오422),05,,,서울
MGMT3009-02,보험학원론,3,50,"정기택,백미라",3.0,"금 15:00-16:15 (오422),금 16:30-17:45 (오422)",05,,,서울
MGMT3012-01,유통관리론,3,140,박찬욱,3.0,화 15:00-16:15 (오213)목 15:00-16:15 (오213),05,,,서울
MGMT3013-01,의사결정모형및분석,3,90,김재경,3.0,월 13:30-14:45 (오213)수 13:30-14:45 (오213),05,,,서울
MGMT3014-01,인적자원관리,3,60,장영철,3.0,화 12:00-13:15 (오401)목 12:00-13:15 (오401),05,,,서울
MGMT3014-02,인적자원관리,3,60,장영철,3.0,화 13:30-14:45 (오401)목 13:30-14:45 (오401),05,,,서울
MGMT3015-01,인터넷과전자상거래,3,63,이새봄,3.0,금 12:00-14:45 (오210),05,,,서울
MGMT3016-01,전략경영론,3,80,이재원,3.0,화 12:00-13:15 (오308)목 12:00-13:15 (오308),05,,,서울
MGMT3020-01,품질경영,3,60,LAU Ka Wing,3.0,월 13:30-14:45 (오212)수 13:30-14:45 (오212),05,영어,,서울
MGMT3021-01,e-비즈니스시스템,3,60,진정숙,3.0,금 09:00-11:45 (오209),05,,,서울
MGMT3023-01,데이터분석및경영,3,42,장혜정,3.0,월 10:30-11:45 (오103)수 10:30-11:45 (오103),05,,,서울
MGMT3023-02,데이터분석및경영,3,42,박재홍,3.0,월 15:00-16:15 (오103)수 15:00-16:15 (오103),05,영어(부분),,서울
MGMT3025-01,인사조직세미나,3,50,양대규,3.0,월 10:30-11:45 (오154)수 10:30-11:45 (오154),05,영어(부분),,서울
MGMT3026-01,창업과비즈니스모델실습,3,60,이경전,3.0,월 09:00-10:15 (오307)수 09:00-10:15 (오307),05,,,서울
MGMT4005-01,고객관계관리,4,60,조아라,3.0,금 12:00-14:45 (오212),05,,,서울
MGMT4006-01,공급사슬관리,4,40,LAU Ka Wing,3.0,월 16:30-17:45 (오212)수 16:30-17:45 (오212),05,영어,,서울
MGMT4007-01,광고론,4,60,나운봉,3.0,월 16:30-17:45 (오209)수 16:30-17:45 (오209),05,,,서울
MGMT4009-01,금융리스크관리,4,60,위정범,3.0,화 13:30-14:45 (오422)목 13:30-14:45 (오422),05,,,서울
MGMT4010-01,기업재무론,4,60,박상수,3.0,월 16:30-17:45 (오423)수 16:30-17:45 (오423),05,,,서울
MGMT4012-01,마케팅전략,4,50,신건철,3.0,월 10:30-11:45 (오210)수 10:30-11:45 (오210),05,영어,,서울
MGMT4012-02,마케팅전략,4,50,문병준,3.0,화 10:30-11:45 (오201)목 10:30-11:45 (오201),05,영어,,서울
MGMT4012-03,마케팅전략,4,80,윤여준,3.0,화 16:30-17:45 (오309)목 16:30-17:45 (오309),05,영어,,서울
MGMT4012-04,마케팅전략,4,50,문병준,3.0,화 13:30-14:45 (오201)목 13:30-14:45 (오201),05,영어,,서울
MGMT4012-05,마케팅전략,4,60,박소윤,3.0,금 12:00-14:45 (오211),05,,,서울
MGMT4013-01,보험경영론,4,52,이봉주,3.0,화 15:00-16:15 (오212)목 15:00-16:15 (오212),05,,,서울
MGMT4019-01,전략정보시스템,4,60,박주석,3.0,월 15:00-16:15 (오201)수 15:00-16:15 (오201),05,,,서울
MGMT4021-01,조직개발,4,60,양대규,3.0,월 13:30-14:45 (오211)수 13:30-14:45 (오211),05,영어(부분),,서울
MGMT4023-01,통화와금융의이해,4,88,이상규,3.0,월 16:30-17:45 (오213)수 16:30-17:45 (오213),05,,,서울
MGMT4025-01,졸업논문(경영학),4,600,김화성,.0,- (),04,,졸업예정자 필수 신청,서울
MGMT4027-01,정보경제전략,4,60,박재홍,3.0,월 13:30-14:45 (오202)수 13:30-14:45 (오202),05,영어(부분),,서울
MGMT4028-01,영업관리론,4,50,박찬욱,3.0,화 10:30-11:45 (오423)목 10:30-11:45 (오423),05,,,서울
MGMT4030-01,캡스톤디자인(경영학),4,8,권오병,3.0,목 18:00-20:25 (),05,,"3,4학년 대상",서울
MGMT4030-02,캡스톤디자인(경영학),4,8,권오병,3.0,목 18:00-20:25 (),05,,"3,4학년 대상",서울
MGMT4030-03,캡스톤디자인(경영학),4,8,권오병,3.0,목 19:00-21:25 (),05,,"3,4학년 대상",서울
MGMT4030-04,캡스톤디자인(경영학),4,20,박상찬,3.0,화 10:00-12:25 (),05,,"3,4학년 대상",서울
MGMT4030-05,캡스톤디자인(경영학),4,20,손용석,3.0,- (),05,,"3,4학년 대상",서울
MGMT4030-06,캡스톤디자인(경영학),4,20,박재홍,3.0,- (),05,,"3,4학년 대상, 교수님과 상담 후 수강신청 가능",서울
MGMT4030-07,캡스톤디자인(경영학),4,8,권오병,3.0,목 19:00-21:25 (),05,,"3,4학년 대상",서울
MGMT4030-08,캡스톤디자인(경영학),4,8,권오병,3.0,목 20:00-22:25 (),05,,"3,4학년 대상",서울
MGMT4030-09,캡스톤디자인(경영학),4,8,권오병,3.0,목 20:00-22:25 (),05,,"3,4학년 대상",서울
MGMT4030-10,캡스톤디자인(경영학),4,20,손용석,3.0,- (),05,,"3,4학년 대상",서울
MGMT4030-11,캡스톤디자인(경영학),4,20,손용석,3.0,- (),05,,"3,4학년 대상",서울
MGMT4030-12,캡스톤디자인(경영학),4,20,박상찬,3.0,화 13:15-15:40 (),05,,"3,4학년 대상",서울
MGMT4030-13,캡스톤디자인(경영학),4,20,박상찬,3.0,화 13:15-15:40 (),05,,"3,4학년 대상",서울
MGMT4030-14,캡스톤디자인(경영학),4,20,박상찬,3.0,화 14:45-17:10 (),05,,"3,4학년 대상",서울
MGMT4032-01,비즈니스분석,4,60,"박주석,김찬수",3.0,"금 15:00-16:15 (오307),금 16:30-17:45 (오307)",05,,,서울
MGMT4033-01,기업과사회-부의공진화,4,50,김도훈,3.0,월 16:30-17:45 (오153)수 16:30-17:45 (오153),05,,경영대학 전공기초 전체 및 전공필수 3과목 이상 수강자,서울
MGMT4034-01,독립심화학습1(경영학과),4,0,이경전,3.0,월 12:00-13:15 (오307)수 12:00-13:15 (오307),05,,,서울
MGMT4034-02,독립심화학습1(경영학과),4,0,이경전,3.0,- () - (),05,,,서울
MGMT4034-03,독립심화학습1(경영학과),4,0,이경전,3.0,- () - (),05,,,서울
MGMT4034-04,독립심화학습1(경영학과),4,0,양대규,3.0,- () - (),05,,,서울
